Resp_ID,Pub_ID,Last_Active,Points,Zoom,Lat,Long,WKT,GeoJSON,Activity
86ery3xm8z7o,9vj942yjs4h7,2024-08-27 06:50:48,"78.212818,15.729414",12.2,78.212818,15.729414,POINT (15.729414 78.212818),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.729414,78.212818]}}",
3pn9tla7idv9,99sc4lcu2kj8,2024-08-28 09:38:13,"78.229268,15.327436",11.9,78.229268,15.327436,POINT (15.327436 78.229268),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.327436,78.229268]}}",Bird and arctic fox watching
3pn9tla7idv9,99sc4lcu2kj8,2024-08-28 09:38:13,"78.250273,15.399576",11.9,78.250273,15.399576,POINT (15.399576 78.250273),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.399576,78.250273]}}",Looking for birds and sea life
3hi7cbx9rre4,99sc4lcu2kj8,2024-08-28 11:11:18,"78.218197,15.701519",14.47,78.218197,15.701519,POINT (15.701519 78.218197),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.701519,78.218197]}}",Birds nesting close to the dog yard every year
3hi7cbx9rre4,99sc4lcu2kj8,2024-08-28 11:11:18,"78.217691,15.614605",15.71,78.217691,15.614605,POINT (15.614605 78.217691),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.614605,78.217691]}}","Pink footed goose and their chicks are usually close to the river, church and grasslands across the river"
3hi7cbx9rre4,99sc4lcu2kj8,2024-08-28 11:11:18,"78.249798,15.504558",13.96,78.249798,15.504558,POINT (15.504558 78.249798),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.504558,78.249798]}}",Lots of birdlife
3hi7cbx9rre4,99sc4lcu2kj8,2024-08-28 11:11:18,"78.220715,15.636978",14.73,78.220715,15.636978,POINT (15.636978 78.220715),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.636978,78.220715]}}",Barnacle gees are usually close to the city with their chicks. Crossing the roads in the city multiple times
88wmh4yec6b4,2sc9khl78dla,2024-08-29 10:23:39,"78.223833,15.669638",12.2,78.223833,15.669638,POINT (15.669638 78.223833),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.669638,78.223833]}}",Birds
88wmh4yec6b4,2sc9khl78dla,2024-08-29 10:23:39,"78.22609,15.641543",12.2,78.22609,15.641543,POINT (15.641543 78.22609),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.641543,78.22609]}}","Beachlive, boats"
88wmh4yec6b4,2sc9khl78dla,2024-08-29 10:23:39,"78.193343,15.775788",10.12,78.193343,15.775788,POINT (15.775788 78.193343),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.775788,78.193343]}}",Permafrost monitoring
4tb8w8w92vn9,666js48djf88,2024-08-30 12:04:49,"78.231928,15.33425",11.17,78.231928,15.33425,POINT (15.33425 78.231928),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.33425,78.231928]}}",
